ISim log file
Running: /run/media/nik/a4d71458-72be-4a3a-9d10-56ac135e94ea/home/nik/SchemLab1/mips_testbench_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb /run/media/nik/a4d71458-72be-4a3a-9d10-56ac135e94ea/home/nik/SchemLab1/mips_testbench_isim_beh.wdb 
ISim P.58f (signature 0xfbc00daa)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 5000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
$t0 (REG8) = xxxxxxxx
$PC (PC) = xxxxxxxx
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000000
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000000
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000000
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000000
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000004
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000004
$t0 (REG8) = xxxxxxxx
$PC (PC) = 00000018
$t0 (REG8) = xxxxxxxx
$PC (PC) = 0000001c
$t0 (REG8) = xxxxxxxx
$PC (PC) = 0000001c
$t0 (REG8) = xxxxxxxx
$PC (PC) = 0000001c
$t0 (REG8) = xxxxxxxx
$PC (PC) = 0000001c
$t0 (REG8) = 00000001
$PC (PC) = 0000001c
$t0 (REG8) = 00000001
$PC (PC) = 00000020
$t0 (REG8) = 00000001
$PC (PC) = 00000020
$t0 (REG8) = 00000001
$PC (PC) = 00000020
$t0 (REG8) = 00000001
$PC (PC) = 00000020
$t0 (REG8) = 00000001
$PC (PC) = 00000024
$t0 (REG8) = 00000001
$PC (PC) = 00000024
$t0 (REG8) = 00000001
$PC (PC) = 00000024
$t0 (REG8) = 00000002
$PC (PC) = 00000024
$t0 (REG8) = 00000002
$PC (PC) = 00000028
$t0 (REG8) = 00000002
$PC (PC) = 00000028
$t0 (REG8) = 00000002
$PC (PC) = 00000028
$t0 (REG8) = 00000003
$PC (PC) = 00000028
$t0 (REG8) = 00000003
$PC (PC) = 0000002c
$t0 (REG8) = 00000003
$PC (PC) = 0000002c
$t0 (REG8) = 00000003
$PC (PC) = 0000002c
$t0 (REG8) = 00000004
$PC (PC) = 0000002c
$t0 (REG8) = 00000004
$PC (PC) = 0000002c
$t0 (REG8) = 00000004
$PC (PC) = 00000010
$t0 (REG8) = 00000004
$PC (PC) = 00000014
$t0 (REG8) = 00000004
$PC (PC) = 00000014
$t0 (REG8) = 00000004
$PC (PC) = 00000014
$t0 (REG8) = 00000000
$PC (PC) = 00000014
$t0 (REG8) = 00000000
$PC (PC) = 00000018
$t0 (REG8) = 00000000
$PC (PC) = 00000018
$t0 (REG8) = 00000000
$PC (PC) = 0000002c
$t0 (REG8) = 00000000
$PC (PC) = 00000030
$t0 (REG8) = 00000000
$PC (PC) = 00000030
$t0 (REG8) = 00000000
$PC (PC) = 00000030
$t0 (REG8) = 00000001
$PC (PC) = 00000030
$t0 (REG8) = 00000001
$PC (PC) = 00000034
$t0 (REG8) = 00000001
$PC (PC) = 00000034
$t0 (REG8) = 00000001
$PC (PC) = 00000034
$t0 (REG8) = 00000002
$PC (PC) = 00000034
$t0 (REG8) = 00000002
$PC (PC) = 00000038
$t0 (REG8) = 00000002
$PC (PC) = 00000038
$t0 (REG8) = 00000002
$PC (PC) = 00000038
$t0 (REG8) = 00000003
$PC (PC) = 00000038
$t0 (REG8) = 00000003
$PC (PC) = 0000003c
$t0 (REG8) = 00000003
$PC (PC) = 0000003c
$t0 (REG8) = 00000003
$PC (PC) = 0000003c
$t0 (REG8) = 00000004
$PC (PC) = 0000003c
$t0 (REG8) = 00000004
$PC (PC) = 00000040
$t0 (REG8) = 00000004
$PC (PC) = 00000040
$t0 (REG8) = 00000004
$PC (PC) = 00000040
$t0 (REG8) = 00000005
$PC (PC) = 00000040
$t0 (REG8) = 00000005
$PC (PC) = 00000044
$t0 (REG8) = 00000005
$PC (PC) = 00000044
$t0 (REG8) = 00000005
$PC (PC) = 00000044
$t0 (REG8) = 00000006
$PC (PC) = 00000044
$t0 (REG8) = 00000006
$PC (PC) = 00000048
$t0 (REG8) = 00000006
$PC (PC) = 00000048
$t0 (REG8) = 00000006
$PC (PC) = 00000048
$t0 (REG8) = 00000007
$PC (PC) = 00000048
$t0 (REG8) = 00000007
$PC (PC) = 0000004c
$t0 (REG8) = 00000007
$PC (PC) = 0000004c
$t0 (REG8) = 00000007
$PC (PC) = 0000004c
$t0 (REG8) = 00000008
$PC (PC) = 0000004c
$t0 (REG8) = 00000008
$PC (PC) = 00000050
$t0 (REG8) = 00000008
$PC (PC) = 00000050
$t0 (REG8) = 00000008
$PC (PC) = 00000050
$t0 (REG8) = 00000009
$PC (PC) = 00000050
$t0 (REG8) = 00000009
$PC (PC) = 00000054
$t0 (REG8) = 00000009
$PC (PC) = 00000054
$t0 (REG8) = 00000009
$PC (PC) = 00000054
$t0 (REG8) = 0000000a
$PC (PC) = 00000054
$t0 (REG8) = 0000000a
$PC (PC) = 00000054
$t0 (REG8) = 0000000a
$PC (PC) = 00000010
$t0 (REG8) = 0000000a
$PC (PC) = 00000014
$t0 (REG8) = 0000000a
$PC (PC) = 00000014
$t0 (REG8) = 0000000a
$PC (PC) = 00000014
$t0 (REG8) = 00000000
$PC (PC) = 00000014
$t0 (REG8) = 00000000
$PC (PC) = 00000018
$t0 (REG8) = 00000000
$PC (PC) = 00000018
$t0 (REG8) = 00000000
$PC (PC) = 00000054
$t0 (REG8) = 00000000
$PC (PC) = 00000058
$t0 (REG8) = 00000000
$PC (PC) = 00000058
$t0 (REG8) = 00000000
$PC (PC) = 00000058
$t0 (REG8) = 00000001
